指标,药,事件数,n,率%,Wilson CI下%,Wilson CI上%,区块,子群,检验,统计量,p,p_BH,显著_BH
第3月仍不适率,C,127.0,291.0,43.64,38.06,49.39,率,D₁=1（探索性主分析）,,,,,
第3月仍不适率,A,115.0,271.0,42.44,36.7,48.39,率,D₁=1（探索性主分析）,,,,,
第3月仍不适率,B,107.0,273.0,39.19,33.59,45.1,率,D₁=1（探索性主分析）,,,,,
第6月仍不适率,C,81.0,291.0,27.84,23.0,33.25,率,D₁=1（探索性主分析）,,,,,
第6月仍不适率,A,73.0,271.0,26.94,22.0,32.51,率,D₁=1（探索性主分析）,,,,,
第6月仍不适率,B,58.0,273.0,21.25,16.81,26.48,率,D₁=1（探索性主分析）,,,,,
第12月仍不适率,C,34.0,291.0,11.68,8.48,15.88,率,D₁=1（探索性主分析）,,,,,
第12月仍不适率,A,47.0,271.0,17.34,13.3,22.3,率,D₁=1（探索性主分析）,,,,,
第12月仍不适率,B,22.0,273.0,8.06,5.38,11.9,率,D₁=1（探索性主分析）,,,,,
始终未消退率(D3=D6=D12=1),C,24.0,291.0,8.25,5.6,11.98,率,D₁=1（探索性主分析）,,,,,
始终未消退率(D3=D6=D12=1),A,32.0,271.0,11.81,8.49,16.19,率,D₁=1（探索性主分析）,,,,,
始终未消退率(D3=D6=D12=1),B,12.0,273.0,4.4,2.53,7.52,率,D₁=1（探索性主分析）,,,,,
,,,,,,,检验,D₁=1（探索性主分析）,第3月仍不适率 卡方(3组),1.213,0.5452,0.5452,False
,,,,,,,检验,D₁=1（探索性主分析）,第6月仍不适率 卡方(3组),3.736,0.1544,0.193,False
,,,,,,,检验,D₁=1（探索性主分析）,第12月仍不适率 卡方(3组),11.017,0.0041,0.0102,True
,,,,,,,检验,D₁=1（探索性主分析）,始终未消退率 卡方(3组),9.996,0.0068,0.0113,True
,,,,,,,检验,D₁=1（探索性主分析）,首次无主诉 Log-rank(3组),13.276,0.0013,0.0065,True
第3月仍不适率,C,173.0,337.0,51.34,46.01,56.63,率,D₁=1或D₃=1（定义敏感性）,,,,,
第3月仍不适率,A,161.0,317.0,50.79,45.31,56.25,率,D₁=1或D₃=1（定义敏感性）,,,,,
第3月仍不适率,B,149.0,315.0,47.3,41.85,52.81,率,D₁=1或D₃=1（定义敏感性）,,,,,
第6月仍不适率,C,92.0,337.0,27.3,22.82,32.29,率,D₁=1或D₃=1（定义敏感性）,,,,,
第6月仍不适率,A,83.0,317.0,26.18,21.65,31.29,率,D₁=1或D₃=1（定义敏感性）,,,,,
第6月仍不适率,B,63.0,315.0,20.0,15.96,24.77,率,D₁=1或D₃=1（定义敏感性）,,,,,
第12月仍不适率,C,37.0,337.0,10.98,8.07,14.77,率,D₁=1或D₃=1（定义敏感性）,,,,,
第12月仍不适率,A,50.0,317.0,15.77,12.17,20.19,率,D₁=1或D₃=1（定义敏感性）,,,,,
第12月仍不适率,B,24.0,315.0,7.62,5.17,11.09,率,D₁=1或D₃=1（定义敏感性）,,,,,
始终未消退率(D3=D6=D12=1),C,26.0,337.0,7.72,5.32,11.06,率,D₁=1或D₃=1（定义敏感性）,,,,,
始终未消退率(D3=D6=D12=1),A,33.0,317.0,10.41,7.51,14.26,率,D₁=1或D₃=1（定义敏感性）,,,,,
始终未消退率(D3=D6=D12=1),B,13.0,315.0,4.13,2.43,6.93,率,D₁=1或D₃=1（定义敏感性）,,,,,
,,,,,,,检验,D₁=1或D₃=1（定义敏感性）,第3月仍不适率 卡方(3组),1.227,0.5413,0.5413,False
,,,,,,,检验,D₁=1或D₃=1（定义敏感性）,第6月仍不适率 卡方(3组),5.351,0.0689,0.0861,False
,,,,,,,检验,D₁=1或D₃=1（定义敏感性）,第12月仍不适率 卡方(3组),10.472,0.0053,0.0132,True
,,,,,,,检验,D₁=1或D₃=1（定义敏感性）,始终未消退率 卡方(3组),9.129,0.0104,0.0173,True
,,,,,,,检验,D₁=1或D₃=1（定义敏感性）,首次无主诉 Log-rank(3组),14.226,0.0008,0.004,True
