### 年龄 ###
变量,组别,n(非缺失),缺失数,均值±SD,中位数(IQR),范围
年龄,组1-药物C(对照),1048,1,30.92 ± 4.59,31.0 (27.0-35.0),20-40
年龄,组2-药物A,1050,0,30.86 ± 4.76,30.0 (27.0-35.0),21-40
年龄,组3-药物B,1050,0,31.04 ± 4.53,31.0 (27.2-35.0),20-40

### 婚姻状况 ###
变量,组别,类别,n,占比(%)
婚姻状况,组1-药物C(对照),已婚,561,53.5
婚姻状况,组1-药物C(对照),未婚,371,35.4
婚姻状况,组1-药物C(对照),离异,94,9.0
婚姻状况,组1-药物C(对照),丧偶,23,2.2
婚姻状况,组2-药物A,已婚,567,54.0
婚姻状况,组2-药物A,未婚,376,35.8
婚姻状况,组2-药物A,离异,74,7.0
婚姻状况,组2-药物A,丧偶,33,3.1
婚姻状况,组3-药物B,已婚,503,47.9
婚姻状况,组3-药物B,未婚,345,32.9
婚姻状况,组3-药物B,离异,94,9.0
婚姻状况,组3-药物B,未知,70,6.7
婚姻状况,组3-药物B,丧偶,38,3.6

### 既往用药情况 ###
变量,组别,类别,n,占比(%)
既往用药,组1-药物C(对照),无用药史,513,48.9
既往用药,组1-药物C(对照),其它用药史,407,38.8
既往用药,组1-药物C(对照),使用过抗抑郁药,129,12.3
既往用药,组2-药物A,无用药史,495,47.1
既往用药,组2-药物A,其它用药史,426,40.6
既往用药,组2-药物A,使用过抗抑郁药,129,12.3
既往用药,组3-药物B,无用药史,509,48.5
既往用药,组3-药物B,其它用药史,410,39.0
既往用药,组3-药物B,使用过抗抑郁药,131,12.5

### 初始抑郁程度 ###
变量,组别,类别,n,占比(%)
抑郁程度,组1-药物C(对照),中度,862,82.2
抑郁程度,组1-药物C(对照),重度,90,8.6
抑郁程度,组1-药物C(对照),轻度,85,8.1
抑郁程度,组1-药物C(对照),未知,12,1.1
抑郁程度,组2-药物A,中度,850,81.0
抑郁程度,组2-药物A,重度,91,8.7
抑郁程度,组2-药物A,轻度,89,8.5
抑郁程度,组2-药物A,未知,20,1.9
抑郁程度,组3-药物B,中度,869,82.8
抑郁程度,组3-药物B,轻度,88,8.4
抑郁程度,组3-药物B,重度,83,7.9
抑郁程度,组3-药物B,未知,10,1.0
